education,food,groceries,nightlife,x,y
0,1,0,0,10.0171116,53.5621481
0,1,0,0,10.0088494,53.5553859
0,0,1,0,9.9286509,53.5917763
0,1,0,0,9.8474922,53.5731964
0,1,0,0,10.0152141,53.5558052
0,1,0,0,9.977791,53.5460078
0,1,0,0,9.9729233,53.5459198
0,1,0,1,9.9794813,53.5509136
0,1,0,0,9.9796445,53.550945
0,1,0,0,9.9801776,53.5510455
0,0,1,0,9.979098,53.5503165
0,1,0,1,9.9732988,53.5463078
0,1,0,0,9.97505,53.5457182
0,1,0,0,9.9752488,53.5460212
0,1,0,0,9.97533,53.5457976
0,1,0,0,9.9753488,53.5456541
0,1,0,0,9.975904,53.5459028
0,1,0,0,9.9758695,53.5461421
0,1,0,0,9.9756443,53.5460992
0,1,0,0,9.9769651,53.5461603
0,1,0,0,9.9742866,53.5458381
0,1,0,0,9.9779081,53.5481753
0,1,0,0,10.168935,53.5423093
0,1,0,0,9.9828938,53.4394769
0,1,0,0,10.0000369,53.7164822
0,1,0,0,9.9802903,53.5550049
0,1,0,0,9.9800543,53.5548491
0,1,0,0,9.9773362,53.5512754
0,0,1,0,10.107497,53.7084676
0,1,0,0,10.1066278,53.7055555
0,1,0,0,10.108119,53.7078787
0,1,0,0,10.1319684,53.7099799
0,1,0,0,9.9781407,53.5777979
0,0,1,0,10.0118473,53.5532311
0,1,0,0,9.9769449,53.5774823
0,1,0,0,9.9748728,53.556689
0,1,0,0,9.9775912,53.5650457
0,1,0,0,9.9806334,53.584592
0,1,0,0,9.9799812,53.5832219
0,0,1,0,10.0276856,53.7009207
0,1,0,0,9.9614866,53.562776
0,0,1,0,10.0434925,53.5912037
0,1,0,0,10.1686925,53.4011878
0,1,0,0,9.9982414,53.5945778
0,0,1,0,9.998796,53.5950197
0,1,0,0,10.0000747,53.5952194
0,0,1,0,10.0014089,53.5944552
0,1,0,0,9.9696468,53.5811053
0,0,1,0,10.0194777,53.4159822
0,1,0,1,9.9767388,53.5716355
0,1,0,0,9.9191926,53.6349387
0,0,1,0,10.2021453,53.5614859
0,1,0,1,10.2052328,53.5620054
0,1,0,0,9.8200222,53.5618202
0,1,0,0,9.9487358,53.5629243
0,1,0,0,9.9489125,53.563131
0,1,0,0,9.9506977,53.5638543
0,1,0,0,9.9832316,53.5688397
0,1,0,0,9.8130432,53.5588624
1,0,0,0,9.9168771,53.599035
1,0,0,0,9.9759099,53.5674512
1,0,0,0,9.9740426,53.5682592
1,0,0,0,9.9741505,53.5679125
1,0,0,0,9.9778354,53.569194
0,1,0,0,10.0123623,53.5579996
0,1,0,1,9.9541482,53.5463649
0,0,1,0,9.9429031,53.5706556
0,0,1,0,9.9496462,53.5734399
0,1,0,0,10.2783411,53.5296086
0,1,0,0,9.9222532,53.5464189
0,1,0,0,9.9223876,53.5491939
0,1,0,0,9.9903117,53.5584999
0,0,1,0,9.7760352,53.6504579
0,0,1,0,9.7751068,53.6571621
0,0,0,1,9.923955,53.5527507
0,1,0,0,9.926919,53.550202
0,1,0,0,9.9272788,53.5504244
0,1,0,0,9.9332763,53.5521012
1,0,0,0,10.0170112,53.5581414
0,1,0,0,9.9249321,53.5591667
1,0,0,0,10.0169191,53.5577048
0,1,0,1,9.9303866,53.549683
0,1,0,0,9.9214916,53.5568042
0,0,1,0,9.9098529,53.5597156
1,0,0,0,9.9981614,53.5486531
1,0,0,0,9.9931862,53.5599442
1,0,0,0,10.075111,53.6055666
1,0,0,0,9.9277419,53.5653615
0,1,0,0,9.9132769,53.544623
0,1,0,0,9.9140735,53.5445322
0,1,0,0,9.9120362,53.5449087
0,1,0,0,9.9080039,53.5447791
0,1,0,0,10.0087604,53.7040043
1,0,0,0,10.0729829,53.5745322
1,0,0,0,10.020929,53.6125383
1,0,0,0,10.0576443,53.6139686
1,0,0,0,9.9461864,53.5667106
1,0,0,0,10.0249304,53.5810734
1,0,0,0,10.0710984,53.5548816
1,0,0,0,10.0205241,53.6125375
0,1,0,1,9.9289503,53.5632982
0,1,0,1,9.9270289,53.5634186
0,1,0,1,9.9738814,53.4579072
0,1,0,1,9.9762264,53.4585705
1,0,0,0,10.0396877,53.6461443
1,0,0,0,10.0396931,53.6460106
0,1,0,0,10.0379638,53.5982403
0,0,1,0,10.2351057,53.5115066
0,0,1,0,10.250511,53.5111279
0,1,0,0,10.2527661,53.5086186
0,1,0,0,10.1295672,53.6424537
0,1,0,0,10.023334,53.5570514
0,1,0,0,9.9799826,53.5547394
