,,access,area,bridge,distance,est_width,from,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel,width,weight,net_type,from_int,to_int
1003873100,1891552265,,,,5.914512,,1003873100,service,,,,,,,,1891552265,,,0.070974144,walk,3104,3810
1003873100,2375427482,,,,6.196282,,1003873100,service,,,,,,,,2375427482,,,0.07435538400000001,walk,3104,4042
2375427482,1003873100,,,,6.196282,,2375427482,service,,,,,,,,1003873100,,,0.07435538400000001,walk,4042,3104
2375427482,330026086,,,,5.062125,,2375427482,service,,,,,,,,330026086,,,0.0607455,walk,4042,2089
330026086,2375427482,,,,5.062125,,330026086,service,,,,,,,,2375427482,,,0.0607455,walk,2089,4042
330026086,330026067,,,,15.817943,,330026086,service,,,,,,,,330026067,,,0.189815316,walk,2089,2088
330026067,330026086,,,,15.817943,,330026067,service,,,,,,,,330026086,,,0.189815316,walk,2088,2089
330026067,330026021,,,,17.002156,,330026067,service,,,,,,,,330026021,,,0.204025872,walk,2088,2087
330026021,330026067,,,,17.002156,,330026021,service,,,,,,,,330026067,,,0.204025872,walk,2087,2088
330026021,5832835246,,,,18.044593,,330026021,service,,,,,,,,5832835246,,,0.216535116,walk,2087,6368
